Championship Title,Team 1,Team 2,Score,Timing
دوري أبطال أفريقيا,الأهلي,ماميلودي صنداونز,1 - 0,19:00
دوري أبطال أفريقيا,بيراميدز,أورلاندو بايرتس,- - -,21:00
الدوري الفرنسي,باريس سان جيرمان,نيس,- - -,21:45
الدوري الألماني,شتوتجارت,هايدنهايم,- - -,21:30
دوري القسم الثاني-أ,كهرباء الإسماعيلية,الداخلية,1 - 0,16:30
دوري القسم الثاني-أ,الترسانة,القناة,0 - 2,16:30
دوري القسم الثاني-أ,راية الرياضي,منتخب السويس,3 - 2,16:30
دوري القسم الثاني-أ,السكة الحديد مودرن,سبورتنج,2 - 1,16:30
دوري القسم الثاني-أ,وادي دجلة,المقاولون العرب,0 - 0,19:00
دوري أبطال آسيا للنخبة,الهلال,نادي غوانغجو,3 - 0,19:30
الدوري التركي,بشكتاش,هاتاي سبور,0 - 0,20:00
الدوري البرتغالي,فاماليكاو,سبورتينج براجا,- - -,22:30
